Date;STOXX50E
2/11/15;8,179932
3/11/15;-3,52002
4/11/15;8,330078
5/11/15;20,719971
6/11/15;-49,849854
9/11/15;7,039795
10/11/15;23,02002
11/11/15;-60,719971
12/11/15;-27,050049
13/11/15;1,580078
16/11/15;89,709961
17/11/15;-20,020019
18/11/15;17,01001
19/11/15;3,520019
20/11/15;-7,189941
23/11/15;-35,659912
24/11/15;52,459961
25/11/15;36,560058
26/11/15;-9,630127
27/11/15;17,459961
30/11/15;-26,810058
1/12/15;-10,979981
2/12/15;-125,319824
3/12/15;-12,590088
4/12/15;29,459961
7/12/15;-62,75
8/12/15;-20,25
9/12/15;-7,23999
10/12/15;-66,76001
11/12/15;-63,969971
14/12/15;102,27002
15/12/15;5,270019
16/12/15;59,689942
17/12/15;-45,739991
18/12/15;-47,71997
21/12/15;1,310058
22/12/15;72,359864
23/12/15;-30,189942
28/12/15;57,790039
29/12/15;-26,300049
30/12/15;-123,21997
4/1/16;13,25
5/1/16;-38,689942
6/1/16;-54,640136
7/1/16;-51,209961
8/1/16;-5,979981
11/1/16;37,169922
12/1/16;8,360108
13/1/16;-49,02002
14/1/16;-71,52002
15/1/16;-17,090087
18/1/16;45,100097
19/1/16;-97,899902
20/1/16;61,329834
21/1/16;79,290039
22/1/16;-21,429932
25/1/16;31,060059
26/1/16;10,629883
27/1/16;-64,050049
28/1/16;65,670166
29/1/16;-24,080078
1/2/16;-69,159912
2/2/16;-55,220215
3/2/16;8,670166
4/2/16;-25,910156
5/2/16;-94,219971
8/2/16;-48,669922
9/2/16;52,550049
10/2/16;-108,699951
11/2/16;75,809814
12/2/16;77,700195
15/2/16;-12,600097
16/2/16;76,459961
17/2/16;-2,570069
18/2/16;-24,099853
19/2/16;62,859863
22/2/16;-46,530029
23/2/16;-67,139893
24/2/16;57,179932
25/2/16;51,73999
26/2/16;16,590088
29/2/16;50,639893
1/3/16;25,75
2/3/16;-9,269776
3/3/16;24,479981
4/3/16;-16,26001
7/3/16;-19,080078
8/3/16;14,169922
9/3/16;-45,399903
10/3/16;103,02002
11/3/16;18,179931
14/3/16;-24,770019
15/3/16;-5,159912
16/3/16;-18,949951
17/3/16;16,669922
18/3/16;-11
21/3/16;nan
22/3/16;nan
23/3/16;-55,689942
24/3/16;18,140137
29/3/16;39,229981
30/3/16;-39,170166
31/3/16;-51,649903
1/4/16;9
4/4/16;-71,929931
5/4/16;19,010009
6/4/16;-37,790039
7/4/16;40,409912
8/4/16;12,25
11/4/16;17,860108
12/4/16;97,099853
13/4/16;21,670166
14/4/16;-6,520019
15/4/16;9,689941
18/4/16;48,959961
19/4/16;29,53003
20/4/16;9,169921
21/4/16;-10,569824
22/4/16;-23,5
25/4/16;nan
26/4/16;nan
27/4/16;-5
28/4/16;-97,219971
29/4/16;4,390137
2/5/16;-58,400147
3/5/16;-35,449951
4/5/16;-1,909912
6/5/16;18,98999
9/5/16;nan
10/5/16;nan
11/5/16;-21,25
12/5/16;nan
13/5/16;nan
17/5/16;18,339844
18/5/16;-37,209961
19/5/16;42,939941
20/5/16;-29,22998
23/5/16;77,190185
24/5/16;51,479981
25/5/16;9,609863
26/5/16;7,270019
27/5/16;11,53003
30/5/16;-26,53003
31/5/16;-24,70996
1/6/16;-4,909913
2/6/16;-36,310058
3/6/16;4,349853
6/6/16;38,790039
7/6/16;-20,929931
8/6/16;-30,729981
9/6/16;-77,919922
10/6/16;-57,590087
13/6/16;-56,340088
14/6/16;33,120117
15/6/16;-11
16/6/16;29,869873
17/6/16;93,709961
20/6/16;24,460205
21/6/16;10,969971
22/6/16;59,550048
23/6/16;-261,770019
24/6/16;-78,650147
27/6/16;61,229981
28/6/16;73,51001
29/6/16;32,560058
30/6/16;18,320069
1/7/16;-20,850098
4/7/16;-49,330078
5/7/16;-51,509766
6/7/16;18,729981
7/7/16;57,909912
8/7/16;47,310058
11/7/16;48,119873
12/7/16;-7,300048
13/7/16;36,930175
14/7/16;-4,420166
15/7/16;-9,47998
18/7/16;-18,069824
19/7/16;35,849853
20/7/16;1,540039
21/7/16;3,73999
22/7/16;0,989991
25/7/16;5,679931
26/7/16;20,580078
27/7/16;-33,379882
28/7/16;24,659912
29/7/16;-83,78003
2/8/16;4,080079
3/8/16;21,280029
4/8/16;41,369873
5/8/16;9,209961
8/8/16;46,26001
9/8/16;-10,719971
10/8/16;30,570068
11/8/16;-4,090088
12/8/16;1,709961
15/8/16;-30,449951
16/8/16;-35,659912
17/8/16;14,76001
18/8/16;-27,100098
19/8/16;-7,829834
22/8/16;33,359863
23/8/16;14,860108
24/8/16;-20,900147
25/8/16;22,670166
26/8/16;-11,860107
29/8/16;32,25
30/8/16;-7,620117
31/8/16;-5,639893
1/9/16;62,25
2/9/16;-2,080078
5/9/16;-7,5
6/9/16;21,5
7/9/16;-8,119873
8/9/16;-30,340088
9/9/16;-40,320068
12/9/16;-38,079834
13/9/16;-9,900147
14/9/16;8,870118
15/9/16;-38,52002
16/9/16;33,060059
19/9/16;-3,449952
20/9/16;17,319825
21/9/16;69,510009
22/9/16;-19,379882
23/9/16;-56,430176
26/9/16;-5,039795
27/9/16;20,270019
28/9/16;0,469971
29/9/16;10,659912
30/9/16;-3,73999
3/10/16;31
4/10/16;-3,219971
5/10/16;-4,699951
6/10/16;-21,01001
7/10/16;35,189942
10/10/16;-15,070069
11/10/16;-12,659912
12/10/16;-32,98999
13/10/16;50,149902
14/10/16;-16,46997
17/10/16;38,270019
18/10/16;8,949951
19/10/16;20,689942
20/10/16;1,020019
21/10/16;16,210205
24/10/16;-6,450195
25/10/16;-6,429932
26/10/16;4,189942
27/10/16;-5,929932
28/10/16;-23,98999
31/10/16;-32,100098
1/11/16;-42,97998
2/11/16;-6,679932
3/11/16;-18,959961
4/11/16;54,75
7/11/16;14,149903
8/11/16;32,860107
9/11/16;-9,699951
10/11/16;-16,570068
11/11/16;9,780029
14/11/16;9,919922
15/11/16;-23,359864
16/11/16;15,429932
17/11/16;-20,959961
18/11/16;12,139893
21/11/16;11,360107
22/11/16;-12,180176
23/11/16;8,450196
24/11/16;7,779785
25/11/16;-31,579834
28/11/16;21,619873
29/11/16;13,190185
30/11/16;-20,630127
1/12/16;-15,850097
2/12/16;37,620117
5/12/16;48,01001
6/12/16;41,47998
7/12/16;43,550049
8/12/16;11,75
9/12/16;1,570068
12/12/16;37,599854
13/12/16;-25
14/12/16;38,030029
15/12/16;9,5
16/12/16;-1,389892
19/12/16;21,559814
20/12/16;-8,659912
21/12/16;-1,23999
22/12/16;4,459961
23/12/16;4,560058
27/12/16;0,189942
28/12/16;-6,959961
29/12/16;18,76001
30/12/16;24,5
3/1/17;2,5
4/1/17;-1,050049
5/1/17;4,699951
6/1/17;-12,199951
9/1/17;-2,76001
10/1/17;1,72998
11/1/17;-21,23999
