Date,Open,High,Low,Close,Adj Close,Volume
2014-07-18,1393.890015,1393.930054,1383.170044,1393.359985,1393.359985,0
2014-07-21,1390.680054,1393.910034,1383.949951,1386.479980,1386.479980,0
2014-07-22,1386.849976,1405.560059,1386.770020,1405.030029,1405.030029,0
2014-07-23,1405.500000,1411.119995,1401.510010,1406.469971,1406.469971,0
2014-07-24,1407.089966,1414.449951,1401.699951,1413.010010,1413.010010,0
2014-07-25,1413.099976,1414.500000,1400.189941,1402.729980,1402.729980,0
2014-07-28,1402.469971,1406.359985,1393.689941,1400.260010,1400.260010,0
2014-07-29,1401.310059,1409.520020,1398.170044,1404.199951,1404.199951,0
2014-07-30,1404.250000,1408.369995,1394.229980,1396.920044,1396.920044,0
2014-07-31,1396.619995,1400.229980,1377.069946,1379.579956,1379.579956,0
2014-08-01,1380.040039,1380.040039,1358.959961,1362.239990,1362.239990,0
2014-08-04,1362.630005,1367.500000,1357.540039,1360.050049,1360.050049,0
2014-08-05,1359.489990,1370.760010,1359.489990,1364.439941,1364.439941,0
2014-08-06,1364.900024,1364.900024,1342.469971,1352.939941,1352.939941,0
2014-08-07,1350.359985,1355.910034,1342.119995,1343.209961,1343.209961,0
2014-08-08,1339.500000,1341.569946,1324.979980,1334.400024,1334.400024,0
2014-08-11,1335.989990,1354.479980,1335.130005,1352.420044,1352.420044,0
2014-08-12,1354.290039,1355.609985,1346.790039,1349.599976,1349.599976,0
2014-08-13,1348.339966,1357.380005,1348.339966,1355.119995,1355.119995,0
2014-08-14,1354.900024,1361.000000,1349.670044,1358.719971,1358.719971,0
2014-08-15,1358.640015,1370.550049,1351.469971,1352.810059,1352.810059,0
2014-08-18,1353.369995,1370.349976,1353.369995,1369.010010,1369.010010,0
2014-08-19,1368.880005,1377.400024,1368.880005,1376.619995,1376.619995,0
2014-08-20,1377.910034,1377.910034,1371.000000,1375.810059,1375.810059,0
2014-08-21,1375.239990,1385.459961,1373.770020,1384.780029,1384.780029,0
2014-08-22,1383.630005,1386.270020,1375.160034,1381.199951,1381.199951,0
2014-08-25,1385.329956,1396.979980,1382.599976,1396.719971,1396.719971,0
